Type,Eqname,Segment,FromCompany,ToCompany,MONGRP
LN,KNOXVLUCAS69_1,1,MEC   ,ALTW  ,ALTW
LN,GALENGALEN69_2,1,DPC   ,ALTW  ,ALTW
LN,BLUEABLERT69_1,1,NSP   ,NSP   ,ALTW
LN,BLERTBL_EA69_1,1,NSP   ,ALTW  ,ALTW
LN,RICELHAYWA69_1,1,DPC,ALTW  ,ALTW
LN,CHESTSPRVA69_1,1,DPC,ALTW  ,ALTW
LN,WABACPLAIN69_2,1,DPC,ALTW  ,ALTW
LN,MENOMSANDR69_1,1,DPC,ALTW  ,ALTW
LN,SPRINSPRVA69_1,1,DPC,ALTW  ,ALTW
LN,NORDNDECOR69_1,1,DPC,ALTW  ,ALTW
LN,SANDRGALEN69_1,1,DPC,ALTW  ,ALTW
LN,GALEWGALEW69_1,1,DPC,ALTW  ,ALTW
LN,BRICEBRICE69_1,S,DPC,ALTW  ,ALTW
LN,POSTVPOSTA69_1,1,DPC,ALTW  ,ALTW
LN,JESUPJESUP69_1,1,MEC,ALTW  ,ALTW
LN,ST_OLWASEC69_1,1,NSP,ALTW  ,ALTW
LN,MILFRTRIBO69_1,1,WAUE,ALTW  ,ALTW
LN,PLCNRANG69_1,1,WAUE,ALTW  ,ALTW
LN,PLCNCBJT69_1,1,WAUE,ALTW  ,ALTW
LN,CRESTCREE69_1,1,WAUE,ALTW  ,ALTW
LN,CRESTSLAK69_1,1,WAUE,ALTW  ,ALTW
LN,FRMLNIFIP69_1,1,WAUE,ALTW  ,ALTW
LN,ORMATTRIMO69_1,1,GRE,ALTW  ,ALTW
LN,ORMATSHERB69_1,1,GRE,ALTW  ,ALTW
LN,RADCHUBBR69_1,1,WAUE,ALTW  ,ALTW
LN,RLNDFERNA69_1,1,WAUE,ALTW  ,ALTW
LN,HUTCHCBJC69_1,1,WAUE,ALTW  ,ALTW
LN,WLLMSBLMT69_1,1,WAUE,ALTW  ,ALTW
LN,KOSSTKOSS69_1,1,WAUE,ALTW  ,ALTW
LN,TRAJTRAER69_1,1,WAUE,ALTW  ,ALTW
LN,HRTLNIFIP69_1,1,WAUE,ALTW  ,ALTW
LN,AMOCOLEE69_1,1,AMIL,ALTW  ,ALTW
LN,ARMENPOE69_1,1,DPC,ALTE,ALTE
LN,MAUSTHLT69_1,1,DPC,ALTE,ALTE
LN,NLT_69LISBOO_1,A,ALTE,DPC,ALTE
LN,TUNELCOUNC69_1,1,DPC,ALTE,ALTE
LN,PLATTLNC69_1,1,DPC,ALTE,ALTE
LN,NEW_PNEWPR69_1,1,NSP,ALTW,ALTW
LN,CHAMPS811_1,1,CIN,NIPS,NIPS
LN,WLBRZENON69_1,1,AMIL,ALTW,NIPS
